Epoch,Iteration,Block,Top1 Mean,Top1 Std,Top3 Mean,Top3 Std,Top1% Mean,Top1% Std,Median Mean,Median Std,Sample Mean (All),Sample Min
0,0,0,0.05103089,0.00000000,0.05103016,0.00000000,0.05078494,0.00000000,0.02551540,0.00000000,0.02554443,0.02554443
0,0,1,0.05103029,0.00000000,0.05102937,0.00000000,0.05078072,0.00000000,0.02551102,0.00000000,0.02554723,0.02554723
0,0,2,0.05103045,0.00000000,0.05102991,0.00000000,0.05076941,0.00000000,0.02548344,0.00000000,0.02550526,0.02550526
0,0,3,0.05103103,0.00000000,0.05103057,0.00000000,0.05075707,0.00000000,0.02538941,0.00000000,0.02540278,0.02540278
0,0,4,0.05103098,0.00000000,0.05103057,0.00000000,0.05077465,0.00000000,0.02546578,0.00000000,0.02547826,0.02547826
0,0,5,0.05103047,0.00000000,0.05102931,0.00000000,0.05077761,0.00000000,0.02543258,0.00000000,0.02547027,0.02547027
0,0,6,0.05103049,0.00000000,0.05102875,0.00000000,0.05076756,0.00000000,0.02555939,0.00000000,0.02554373,0.02554373
0,0,7,0.05103102,0.00000000,0.05103012,0.00000000,0.05077248,0.00000000,0.02564806,0.00000000,0.02555190,0.02555190
0,0,8,0.05103068,0.00000000,0.05103044,0.00000000,0.05077571,0.00000000,0.02557745,0.00000000,0.02554034,0.02554034
0,0,9,0.05103100,0.00000000,0.05103033,0.00000000,0.05077183,0.00000000,0.02558723,0.00000000,0.02554716,0.02554716
0,0,10,0.05103096,0.00000000,0.05102985,0.00000000,0.05077681,0.00000000,0.02559505,0.00000000,0.02552895,0.02552895
0,0,11,0.05103068,0.00000000,0.05102973,0.00000000,0.05077145,0.00000000,0.02551945,0.00000000,0.02550435,0.02550435
0,200,0,0.05106040,0.00000000,0.05105227,0.00000000,0.05078444,0.00000000,0.02551548,0.00000000,0.02554395,0.02554395
0,200,1,0.05107490,0.00000000,0.05106305,0.00000000,0.05077977,0.00000000,0.02550922,0.00000000,0.02554683,0.02554683
0,200,2,0.05105378,0.00000000,0.05104690,0.00000000,0.05076888,0.00000000,0.02548041,0.00000000,0.02550479,0.02550479
0,200,3,0.05107666,0.00000000,0.05106033,0.00000000,0.05075597,0.00000000,0.02538818,0.00000000,0.02540234,0.02540234
0,200,4,0.05105908,0.00000000,0.05104772,0.00000000,0.05077351,0.00000000,0.02546448,0.00000000,0.02547784,0.02547784
0,200,5,0.05106829,0.00000000,0.05104964,0.00000000,0.05077714,0.00000000,0.02543362,0.00000000,0.02546987,0.02546987
0,200,6,0.05106895,0.00000000,0.05105115,0.00000000,0.05076670,0.00000000,0.02555561,0.00000000,0.02554319,0.02554319
