Epoch,Iteration,Block,Top1 Mean,Top1 Std,Top3 Mean,Top3 Std,Top1% Mean,Top1% Std,Median Mean,Median Std,Sample Mean (All),Sample Min
0,0,0,0.02703857,0.00000000,0.02430725,0.00000000,0.01148563,0.00000000,0.00173283,0.00000000,0.00229050,0.00229050
0,0,1,0.02740479,0.00000000,0.02428589,0.00000000,0.00876382,0.00000000,0.00124741,0.00000000,0.00166873,0.00166873
0,0,2,0.01797485,0.00000000,0.01642304,0.00000000,0.00725441,0.00000000,0.00100422,0.00000000,0.00136435,0.00136435
0,0,3,0.01629639,0.00000000,0.01584320,0.00000000,0.00668813,0.00000000,0.00084639,0.00000000,0.00118301,0.00118301
0,0,4,0.01698303,0.00000000,0.01628265,0.00000000,0.00610584,0.00000000,0.00072908,0.00000000,0.00103261,0.00103261
0,0,5,0.01603699,0.00000000,0.01431885,0.00000000,0.00562933,0.00000000,0.00067997,0.00000000,0.00096871,0.00096871
0,0,6,0.01383209,0.00000000,0.01264648,0.00000000,0.00492038,0.00000000,0.00061798,0.00000000,0.00087013,0.00087013
0,0,7,0.01013947,0.00000000,0.00946503,0.00000000,0.00449734,0.00000000,0.00057077,0.00000000,0.00080814,0.00080814
0,0,8,0.01039124,0.00000000,0.00952911,0.00000000,0.00423359,0.00000000,0.00053501,0.00000000,0.00075696,0.00075696
0,0,9,0.01069641,0.00000000,0.00941925,0.00000000,0.00424488,0.00000000,0.00051498,0.00000000,0.00073646,0.00073646
0,0,10,0.00989532,0.00000000,0.00924530,0.00000000,0.00389172,0.00000000,0.00046206,0.00000000,0.00066943,0.00066943
0,0,11,0.00949860,0.00000000,0.00859756,0.00000000,0.00381232,0.00000000,0.00045705,0.00000000,0.00066062,0.00066062
0,10000,0,0.01806641,0.00000000,0.01457672,0.00000000,0.00490290,0.00000000,0.00059223,0.00000000,0.00083138,0.00083138
0,10000,1,0.01082611,0.00000000,0.00994568,0.00000000,0.00395502,0.00000000,0.00049734,0.00000000,0.00069144,0.00069144
0,10000,2,0.00791168,0.00000000,0.00752106,0.00000000,0.00344775,0.00000000,0.00042343,0.00000000,0.00059690,0.00059690
0,10000,3,0.00687790,0.00000000,0.00665588,0.00000000,0.00326152,0.00000000,0.00038028,0.00000000,0.00055197,0.00055197
0,10000,4,0.00835419,0.00000000,0.00771408,0.00000000,0.00306649,0.00000000,0.00032783,0.00000000,0.00049064,0.00049064
0,10000,5,0.00894165,0.00000000,0.00825424,0.00000000,0.00326276,0.00000000,0.00031209,0.00000000,0.00048412,0.00048412
0,10000,6,0.00750351,0.00000000,0.00696564,0.00000000,0.00292247,0.00000000,0.00027823,0.00000000,0.00043479,0.00043479
0,10000,7,0.00794220,0.00000000,0.00726624,0.00000000,0.00304058,0.00000000,0.00026321,0.00000000,0.00042623,0.00042623
0,10000,8,0.00769806,0.00000000,0.00755310,0.00000000,0.00292442,0.00000000,0.00025129,0.00000000,0.00041017,0.00041017
0,10000,9,0.00961304,0.00000000,0.00923309,0.00000000,0.00304739,0.00000000,0.00023127,0.00000000,0.00039550,0.00039550
0,10000,10,0.00942230,0.00000000,0.00892181,0.00000000,0.00293477,0.00000000,0.00022161,0.00000000,0.00038228,0.00038228
0,10000,11,0.00772095,0.00000000,0.00754852,0.00000000,0.00307785,0.00000000,0.00021875,0.00000000,0.00039169,0.00039169
0,0,0,0.02507019,0.00000000,0.02441711,0.00000000,0.01141804,0.00000000,0.00174332,0.00000000,0.00229373,0.00229373
0,0,1,0.02783203,0.00000000,0.02422180,0.00000000,0.00887640,0.00000000,0.00125980,0.00000000,0.00168219,0.00168219
0,0,2,0.01986694,0.00000000,0.01710968,0.00000000,0.00735826,0.00000000,0.00101948,0.00000000,0.00137825,0.00137825
0,0,3,0.01907349,0.00000000,0.01706848,0.00000000,0.00680429,0.00000000,0.00087023,0.00000000,0.00120412,0.00120412
0,0,4,0.01902771,0.00000000,0.01806336,0.00000000,0.00618165,0.00000000,0.00073862,0.00000000,0.00104711,0.00104711
0,0,5,0.01490021,0.00000000,0.01403198,0.00000000,0.00577824,0.00000000,0.00069523,0.00000000,0.00099069,0.00099069
0,0,6,0.01481628,0.00000000,0.01383514,0.00000000,0.00503330,0.00000000,0.00063372,0.00000000,0.00088958,0.00088958
0,0,7,0.00997925,0.00000000,0.00963287,0.00000000,0.00459081,0.00000000,0.00058460,0.00000000,0.00082538,0.00082538
0,0,8,0.00986481,0.00000000,0.00908661,0.00000000,0.00429267,0.00000000,0.00054598,0.00000000,0.00077043,0.00077043
0,0,9,0.01005554,0.00000000,0.00933685,0.00000000,0.00429297,0.00000000,0.00052500,0.00000000,0.00075040,0.00075040
0,0,10,0.00965118,0.00000000,0.00907135,0.00000000,0.00388511,0.00000000,0.00047374,0.00000000,0.00067895,0.00067895
0,0,11,0.00894928,0.00000000,0.00834808,0.00000000,0.00379612,0.00000000,0.00046563,0.00000000,0.00066616,0.00066616
